1,0,0,0,0
1001,0,0.000999001,0,0.033966
2001,0,0,0,0.0349825
3001,0,0,0,0.0366544
4001,0.000249938,0,0.000249938,0.0382404
5001,0,0,0,0.0391922
6001,0.000166639,0,0,0.0396601
7001,0,0.000142837,0,0.0398514
8001,0.000124984,0,0.000124984,0.0409949
9001,0,0.000111099,0,0.0418842
10001,9.999e-005,9.999e-005,0,0.0421958
11001,9.09008e-005,0,0.000181802,0.0434506
12001,0,8.33264e-005,8.33264e-005,0.0435797
13001,7.69172e-005,7.69172e-005,7.69172e-005,0.044612
14001,7.14235e-005,7.14235e-005,7.14235e-005,0.0449254
15001,6.66622e-005,0,0.000133324,0.0451303
16001,6.24961e-005,6.24961e-005,6.24961e-005,0.0461846
17001,5.88201e-005,5.88201e-005,5.88201e-005,0.046762
18001,5.55525e-005,5.55525e-005,5.55525e-005,0.0482751
19001,5.26288e-005,5.26288e-005,0.000105258,0.05005
