1,0,0,0,0
1001,0,0.001998,0.000999001,0.000999001
2001,0.00049975,0.0029985,0.0029985,0.001999
3001,0.000333222,0.00466511,0.00499833,0.00266578
4001,0.000249938,0.00624844,0.00649838,0.00374906
5001,0.00039992,0.00779844,0.00819836,0.00459908
6001,0.000333278,0.00949842,0.00949842,0.00533244
7001,0.000285673,0.0111413,0.0114269,0.00628482
8001,0.000249969,0.0124984,0.0123735,0.00712411
9001,0.000333296,0.0145539,0.0147761,0.00799911
10001,0.00019998,0.0152985,0.0152985,0.00869913
11001,0.000272702,0.0176348,0.0179075,0.00936279
12001,0.000249979,0.0212482,0.0199983,0.0111657
13001,0.000230751,0.0208446,0.021383,0.0113068
14001,0.000285694,0.0215699,0.0217127,0.012642
15001,0.000333311,0.0231985,0.0232651,0.0128658
16001,0.000374977,0.0258109,0.0261234,0.0136241
17001,0.00035292,0.0281748,0.028763,0.0149403
18001,0.000277762,0.0319427,0.031776,0.0161102
19001,0.000315773,0.0326299,0.0331561,0.0166307
